Вильдрак, Шарль	[' (наст. имя Шарль Мессаже; 1882—1971), французский писатель — ']	['II', 'IV']	['415,592,593,634', '93']
Вильсон, Томас Вудро	[' (1856—1924), президент США в 1913—1921 гг. — ']	['III']	['367,368']
Винеа, Пьетро де	[]	['']	[]
Виндельбанд, Вильгельм	[' (1848—1915), немецкий философ — ']	['IV']	['24,371']
Винья, Пьер делла,	[' канцлер и фаворит императора Фридриха II, оратор — ']	['III']	['194']
Виргилий	[]	['']	[]
Вирениус А. С.	[' (1832—1910), доктор — ']	['II']	['367']
Витте, Сергей Юльевич	[' (1849—1915), русский государственный деятель — ']	['II', 'III']	['367', '371']
Вишневецкая, Софья Касьяновна	[' (1899—1962), художница, жена В. В. Вишневского — ']	['IV']	['80,385']
Вишневский, Всеволод Витальевич	[' (1900—1951), писатель, драматург — ']	['IV']	['166,414']
Владимирский, Сергей Иванович	[' (1902—1961), режиссер, сценарист — ']	['II']	['460,461']
Воеводский, Сергей Н.,	[' соученик О. Мандельштама — ']	['II']	['369']
Войлошникова,	[' актриса — ']	['III']	['418']
Войтоловский, Лев Наумович	[' (1876—1941), литературовед — ']	['IV']	['84,386']
Волошин (Кириенко-Волошин), Максимилиан Александрович	[' (1877—1932), поэт и художник — ']	['II', 'III', 'IV']	['395', '411,462', '16,17,26,27,85,170']
Волошина (Глазер, Кириенко-Волошина), Елена Оттобальдовна	[' (1850—1923), мать М. А. Волошина — ']	['IV']	['23']
Волынский, Аким Львович	[' (наст. имя Флексер, Хаим Лейбович; 1863—1926), критик, искусствовед — ']	['IV']	['24']
Вольтер	[' (наст. имя Франсуа Мари Аруэ; 1694—1778), французский писатель, философ-просветитель — ']	['III']	['419']
Вольф, Сергей Оскарович	[' (?—1951), директор Воронежского Большого Советского театра — ']	['IV']	['163,414']
Вольфсон М. Б.	[' (1880—1932), член правления Госиздата — ']	['IV']	['61—64,74,76,78']
Воронский, Александр Константинович	[' (1884—1937), писатель, критик — ']	['IV']	['44,79,80,377']
Воронцов, Михаил Семенович	[' (1782—1856), князь, генерал-фельдмаршал, русский госуд. деятель, наместник Кавказа в 1844—1854 гг. — ']	['II']	['234,619']
Воронцов-Дашков	[]	['']	[]
Врангель, Петр Николаевич	[' (1878—1928), барон, один из руководителей белого движения в период гражданской войны — ']	['II', 'III']	['395,401', '73,319']
Вуазей	[' <i>(Вуазе),</i> представитель французской делегации на Международной крестьянской конференции — ']	['II']	['327']
Выгодская, Эмма Иосифовна	[' (1900—1949), жена Выгодского Д. И., писательница, переводчица — ']	['IV']	['48,379']
Выгодский, Давид Исаакович	[' (1893—1943), литературовед, переводчик — ']	['II', 'IV']	['83', '44,48—50,52,60,70,84,94,375,379']
Вырубова (Танеева), Анна Александровна	[' (1884—1964), фрейлина императрицы Александры Федоровны — ']	['IV']	['110']
Вяземский, Петр Андреевич	[' (1792—1878), поэт, критик — ']	['II']	['293']
Габсбурги,	[' императорская династия — ']	['I', 'II']	['108', '561']
Гайдн, Иосиф	[' (1732—1809), австрийский композитор — ']	['III']	['201']
Галаган, Павел	[' (1853—1869) — ']	['II']	['436,636']
Галкин, Николай Владимирович	[' (1850—1906), дирижер, скрипач — ']	['II']	['347']
Гальен	[]	['']	[]
Гальфрид Монмутский	[' (ок. 1100—1155), автор латинской хроники «История королей Британии» и стихотворной «Жизни Мерлина» — ']	['II']	['328,631']
Гамбаров (Гамбарян), Степан Погосович	[' (1879—1948), химик — ']	['III']	['181—183']
Гамп	[]	['']	[]
Гамсун (Педерсен), Кнут	[' (1859—1952), норвежский писатель — ']	['II', 'IV']	['345,516', '12']
Ганди, Мохандас Кармчанд	[' (1869—1948), деятель индийского нац.-освобод. движения — ']	['II', 'III']	['342', '367']
Гапон, Георгий Аполлонович	[' (1870—1906), священник, агент царской охранки — ']	['II']	['241,620']
Гаприндашвили, Валериан Иванович	[' (1888/1889—1941), грузинский поэт — ']	['II']	['99,103,611,612']
Гарнье, Этьен,	[' вероятно, тюремный сторож Ф. Вийона — ']	['I']	['174']
Гарт (Харт), Фрэнсис Брет	[' (1836—1902), американский писатель — ']	['II']	['261']
Гарциа	[]	['']	[]
Гарсиа, Мануэль	[' (1805—1906), испанский певец — ']	['II']	['238,620']
Гаршин, Всеволод Михайлович	[' (1855—1888), писатель — ']	['II']	['358,367']
Гастев, Алексей Капитонович 	['(1882—1939/1941), поэт, профсоюзный и издательский деятель — ']	['II']	['503,642']
Гатуев, Дзахо, 	['дагестанский поэт — ']	['III']	['260,264']
Гауптман, Герхард	[' (1862—1946), немецкий драматург — ']	['II', 'IV']	['323,324,630', '12']
Гафиз	[]	['']	[]
Гварнери,	[' семья итальянских скрипичных мастеров — ']	['III']	['276']
Гвискар (Гюискар), Роберт	[' (ок. 1015—1085) — один из предводителей норманнов, завоевавших в XI в. Юж. Италию — ']	['III']	['407']
Гвискардо, Роберт	[]	['']	[]
Геббель, Христиан Фридрих	[' (1813—1863), немецкий драматург — ']	['IV']	['28,373']
Геворг V Суренян,	[' католикос армянский в 1911—1930 гг. — ']	['III']	['376,459']
Геворкьян, Мамикон Артемьевич	[' (1877—1962), армянский филолог — ']	['III']	['205']
Гегель, Георг Вильгельм Фридрих	[' (1770—1831), немецкий философ — ']	['IV']	['150']
Гедройц, Вера Игнатьевна	[' (псевдоним: Сергей Гедройц; 1876—1932), поэтесса, хирург — ']	['IV']	['105,110,393']
Гейне, Генрих	[' (1797—1856), немецкий поэт — ']	['I', 'II', 'III']	['133', '254', '157']
Гельштейн А. М.,	[' рецензент ленинградской «Красной газеты» — ']	['II']	['498']
Гендель, Георг Фридрих	[' (1685—1759), немецкий композитор — ']	['II', 'III']	['481', '296,388']
Генкин, Максим Исаевич	[' (1886—1938), партийный работник — ']	['IV']	['163,414']
Гераклит Эфесский	[' (ок. 550—480 до н. э.), древнегреческий философ — ']	['III']	['236,237']
Герардеска, Ансельмуччио,	[' внук Уголино делла Герардеска — ']	['III']	['246,248,449']
Герардеска, Уголино делла	[' (нач. 1200-х—1289), флорентийский полит. деятель, глава Пизанской республики — ']	['III']	['245—248,449']
Гервег, Георг	[' (1817—1875), немецкий поэт — ']	['II']	['421,634']
Гердер, Иоганн Готфрид	[' (1744—1803), немецкий философ — ']	['II', 'III']	['362', '295,420']
Герке, 	['доктор — ']	['IV']	['183']
Герман	[]	['']	[]
Геродот	[' (ок. 484 — ок. 425 до н. э.), древнегреческий историк — ']	['III']	['274']
Герцберг, 	['доктор — ']	['III']	['182']
Герцен, Александр Иванович	[' (1812—1870), философ, публицист, писатель — ']	['II', 'III', 'IV']	['251,302,384,556', '175', '36']
Гершензон, Михаил Осипович	[' (1869—1925), историк литературы и общественной мысли — ']	['I']	['223']
Герштейн, Эмма Григорьевна	[' (р.1903), литературовед — ']	['IV']	['188,194,195']
Гершуни, Григорий Александрович	[' (1870—1908), один из основателей и лидеров партии эсеров, террорист — ']	['II']	['383']
Гесиод	[' (VIII—VII вв. до н. э.), древнегреческий поэт — ']	['II']	['253']
Гете, Иоганн Вольфганг	[' (1749—1832), немецкий поэт, писатель — ']	['I', 'II', 'III', 'IV']	['207', '238,251,270,274,354,356,357,421,489,511,518,577', '68,69,78,98,193,280—298,319,377,387,416—423', '149,158']
Гете, Иоганн Каспар	[' (1710—1782), отец И. В. Гете — ']	['III']	['283,285,288,289']
Гете, Корнелия	[' (1750—1777), сестра И. В. Гете — ']	['III']	['284']
Гете (Текстор), Катарина Элизабет	[' (1731—1808), мать И. В. Гете — ']	['III']	['286']
Гефт, Израиль Соломонович	[' (1897—1938), издательский деятель — ']	['IV']	['86']
Гинзбург,	[' киевский домовладелец — ']	['II']	['437,636']
Гинзбург, Екатерина	[' — ']	['IV']	['26']
Гинзбурги,	[' братья: Моисей Исаакович (1877—1940), журналист и Симон Исаакович (1900—1953), музыковед — ']	['II']	['394']
Гинцбург, Гораций Осипович	[' (Нафтали Герц; 1833—1909), банкир и меценат — ']	['II']	['361']
Гиппиус, Владимир (Вольдемар) Васильевич	[' (1876—1941), поэт, критик, педагог — ']	['II', 'IV']	['375,388,390,391', '10,11,366']
Гиппиус, Зинаида Николаевна	[' (1869—1945), поэт, критик — ']	['II']	['237,500']
Гладков, Федор Васильевич	[' (1883—1958), писатель — ']	['III']	['368']
Глауберман,	[' врач-ларинголог — ']	['IV']	['157']
Глоба, Андрей Павлович	[' (1888—1964), писатель, переводчик — ']	['III']	['261']
Глюк	['<i>, Кристоф Виллибальд</i> (1714—1787), австрийский композитор — ']	['I', 'II', 'III']	['265', '300,555', '201,388']
Гоген, Поль	[' (1848—1903), французский художник — ']	['III']	['384']
Гоголь, Николай Васильевич	[' (1809—1852), писатель — ']	['II', 'III', 'IV']	['264,308,367,369,443,460,461', '325,333,387', '96,195']
Голенищев-Кутузов, Арсений Аркадьевич	[' (1848—1913), поэт — ']	['II']	['237,292,620']
Гольдберг Ю. В.,	[' издатель, поэт — ']	['II']	['382']
Гольдони, Карло	[' (1707—1793), итальянский драматург — ']	['II', 'III']	['293', '414']
Гольц,	[' знакомый Э. В. Мандельштама — ']	['IV']	['41']
Гомер	[' (IX в. до н. э.), древнегреческий поэт — ']	['I', 'II', 'III']	['103,115,214,225,230', '118,415,552,591', '113,256,345,405']
